,Titulo,Resumen,Autores,Palabra Clave,Fechas
42,"20020234: Rock (1), panel (15)","Rock Art photograph, Panel (15R), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:40Z - 2004-05-10T12:49:40Z - 2002-12-19 16:25:00 - 2004-05-10T12:49:40Z
43,"20020235: Rock (1), panel (15)","Rock Art photograph, Panel (15R), flaking details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:43Z - 2004-05-10T12:49:43Z - 2002-12-19 16:39:00 - 2004-05-10T12:49:43Z
44,"20020237: Rock (1), panel (15)","Rock Art photograph, Panel (15R), flaking details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:46Z - 2004-05-10T12:49:46Z - 2002-12-19 16:39:00 - 2004-05-10T12:49:46Z
45,"20020302: Rock (1), panel (15)","Rock Art photograph, Crossing point; Panel (15), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:50Z - 2004-05-10T12:49:50Z - 2002-12-19 16:35:00 - 2004-05-10T12:49:50Z
46,"20020304: Rock (1), panel (15)","Rock Art photograph, Centre of circles; Panel (15), details - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:49:53Z - 2004-05-10T12:49:53Z - 2002-12-19 16:35:00 - 2004-05-10T12:49:53Z
47,"20020306: Rock (3), panel (13)","Rock Art photograph, Rock (13) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']105[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:49:57Z - 2004-05-10T12:49:57Z - 2002-12-19 16:40:00 - 2004-05-10T12:49:57Z
48,"20020308: Rock (3), panel (13)","Rock Art photograph, Panel (13F) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']105[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:50:02Z - 2004-05-10T12:50:02Z - 2002-12-19 16:50:00 - 2004-05-10T12:50:02Z
49,"20020310: Rock (3), panel (13)","Rock Art photograph, Panel (13H) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']105[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:50:05Z - 2004-05-10T12:50:05Z - 2002-12-19 17:00:00 - 2004-05-10T12:50:05Z
50,"20020314: Rock (3), panel (13)","Rock Art photograph, Panel (13L) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']105[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:50:08Z - 2004-05-10T12:50:08Z - 2002-12-19 17:00:10 - 2004-05-10T12:50:08Z
51,"20020316: Rock (3), panel (13)","Rock Art photograph, Rock (13) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']105[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:50:11Z - 2004-05-10T12:50:11Z - 2002-12-19 17:20:00 - 2004-05-10T12:50:11Z
52,"20020317: Rock (11), panel (11)","Rock Art photograph, Rock (11), Panel (11) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.2""[/cam][cam element='coordinate' qualifier='altitude']902[/cam][cam element='coordinate' qualifier='bearing']75[/cam][cam element='coordinate' qualifier='inclination']60[/cam][cam element='coordinate' qualifier='cartesian'](2.000,1.500,1.500)[/cam]",None,,2004-05-10T12:50:16Z - 2004-05-10T12:50:16Z - 2002-12-20 15:00:00 - 2004-05-10T12:50:16Z
53,"20020320: Rock (5), panel (10)","Rock Art photograph, (10) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:19Z - 2004-05-10T12:50:19Z - 2002-12-20 15:00:00 - 2004-05-10T12:50:19Z
54,"20020322: Rock (5), panel (10)","Rock Art photograph, Panel (10), glyphs - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:23Z - 2004-05-10T12:50:23Z - 2002-12-20 15:18:00 - 2004-05-10T12:50:23Z
55,"20020324: Rock (5), panel (10)","Rock Art photograph, Panel (10), glyphs - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:26Z - 2004-05-10T12:50:26Z - 2002-12-20 15:18:00 - 2004-05-10T12:50:26Z
56,"20020326: Rock (5), panel (10)","Rock Art photograph, Panel (10), glyphs - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:30Z - 2004-05-10T12:50:30Z - 2002-12-20 15:18:00 - 2004-05-10T12:50:30Z
57,"20020328: Rock (5), panel (10)","Rock Art photograph, Panel (10), glyphs - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:34Z - 2004-05-10T12:50:34Z - 2002-12-20 15:18:00 - 2004-05-10T12:50:34Z
58,"20020330: Rock (5), panel (10)","Rock Art photograph, (10) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:38Z - 2004-05-10T12:50:38Z - 2002-12-20 15:18:00 - 2004-05-10T12:50:38Z
59,"20020332: Rock (5), panel (10)","Rock Art photograph, Rock (10), left side and back - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:40Z - 2004-05-10T12:50:40Z - 2002-12-20 15:23:00 - 2004-05-10T12:50:40Z
60,"20020334: Rock (5), panel (10)","Rock Art photograph, Rock (10), right side and back - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:44Z - 2004-05-10T12:50:44Z - 2002-12-20 15:23:00 - 2004-05-10T12:50:44Z
61,"20020336: Rock (6), panel (0)","Rock Art photograph, Panel (9) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.5""[/cam][cam element='coordinate' qualifier='altitude']905[/cam][cam element='coordinate' qualifier='bearing']340[/cam][cam element='coordinate' qualifier='inclination']0[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:50:48Z - 2004-05-10T12:50:48Z - 2002-12-20 15:50:00 - 2004-05-10T12:50:48Z
62,"20020402: Rock (5), panel (10)","Rock Art photograph, Rock (10), long range views - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:52Z - 2004-05-10T12:50:52Z - 2002-12-20 15:55:00 - 2004-05-10T12:50:52Z
63,"20020404: Rock (5), panel (10)","Rock Art photograph, Rock (10), long range views - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:55Z - 2004-05-10T12:50:55Z - 2002-12-20 15:55:00 - 2004-05-10T12:50:55Z
64,"20020406: Rock (5), panel (10)","Rock Art photograph, Rock (10), long range views - [cam element='coordinate' qualifier='longitude']W 70deg34'55.8""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.4""[/cam][cam element='coordinate' qualifier='altitude']893[/cam][cam element='coordinate' qualifier='bearing']200[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.390,2.330,1.800)[/cam]",None,,2004-05-10T12:50:58Z - 2004-05-10T12:50:58Z - 2002-12-20 15:55:00 - 2004-05-10T12:50:58Z
65,"20020408: Rock (3), panel (8)","Rock Art photograph, Panel (8) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:51:01Z - 2004-05-10T12:51:01Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:01Z
66,"20020410: Rock (3), panel (8)","Rock Art photograph, Panel (8) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:51:05Z - 2004-05-10T12:51:05Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:05Z
67,"20020414: Rock (3), panel (8)","Rock Art photograph, Panel (8) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:51:09Z - 2004-05-10T12:51:09Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:09Z
68,"20020416: Rock (3), panel (8)","Rock Art photograph, Panel (8) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:51:13Z - 2004-05-10T12:51:13Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:13Z
69,"20020418: Rock (3), panel (8)","Rock Art photograph, Panel (8) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:51:17Z - 2004-05-10T12:51:17Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:17Z
70,"20020420: Rock (3), panel (8)","Rock Art photograph, Panel (8) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:51:20Z - 2004-05-10T12:51:20Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:20Z
71,"20020421: Rock (3), panel (8)","Rock Art photograph, Panel (8) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.840,2.150,2.680)[/cam]",None,,2004-05-10T12:51:23Z - 2004-05-10T12:51:23Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:23Z
72,"20020426: Rock (unknown), panel (unknown)","Rock Art photograph, General fun landscape shots - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:51:26Z - 2004-05-10T12:51:26Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:26Z
73,"20020428: Rock (unknown), panel (unknown)","Rock Art photograph, General fun landscape shots - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:51:30Z - 2004-05-10T12:51:30Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:30Z
74,"20020429: Rock (unknown), panel (unknown)","Rock Art photograph, General fun landscape shots - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:51:33Z - 2004-05-10T12:51:33Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:33Z
75,"20020432: Rock (unknown), panel (unknown)","Rock Art photograph, General fun landscape shots - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:51:36Z - 2004-05-10T12:51:36Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:36Z
76,"20020434: Rock (unknown), panel (unknown)","Rock Art photograph, General fun landscape shots - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:51:41Z - 2004-05-10T12:51:41Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:41Z
77,"20020436: Rock (unknown), panel (unknown)","Rock Art photograph, General fun landscape shots - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:51:45Z - 2004-05-10T12:51:45Z - 2002-12-20 16:05:00 - 2004-05-10T12:51:45Z
78,"20020502: Rock (8), panel (16)","Rock Art photograph, Rock (16) - [cam element='coordinate' qualifier='longitude']W 70deg34'56.0""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.4""[/cam][cam element='coordinate' qualifier='altitude']919[/cam][cam element='coordinate' qualifier='bearing']5[/cam][cam element='coordinate' qualifier='inclination']60[/cam][cam element='coordinate' qualifier='cartesian'](2.900,1.730,3.000)[/cam]",None,,2004-05-10T12:51:49Z - 2004-05-10T12:51:49Z - 2002-12-20 16:36:00 - 2004-05-10T12:51:49Z
79,"20020504: Rock (8), panel (16)","Rock Art photograph, Panel (16) - [cam element='coordinate' qualifier='longitude']W 70deg34'56.0""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.4""[/cam][cam element='coordinate' qualifier='altitude']919[/cam][cam element='coordinate' qualifier='bearing']5[/cam][cam element='coordinate' qualifier='inclination']60[/cam][cam element='coordinate' qualifier='cartesian'](2.900,1.730,3.000)[/cam]",None,,2004-05-10T12:51:52Z - 2004-05-10T12:51:52Z - 2002-12-20 16:40:00 - 2004-05-10T12:51:52Z
80,"20020506: Rock (8), panel (16)","Rock Art photograph, Panel (16) - [cam element='coordinate' qualifier='longitude']W 70deg34'56.0""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.4""[/cam][cam element='coordinate' qualifier='altitude']919[/cam][cam element='coordinate' qualifier='bearing']5[/cam][cam element='coordinate' qualifier='inclination']60[/cam][cam element='coordinate' qualifier='cartesian'](2.900,1.730,3.000)[/cam]",None,,2004-05-10T12:51:55Z - 2004-05-10T12:51:55Z - 2002-12-20 16:40:00 - 2004-05-10T12:51:55Z
81,"20020508: Rock (8), panel (16)","Rock Art photograph, Panel (16) - [cam element='coordinate' qualifier='longitude']W 70deg34'56.0""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.4""[/cam][cam element='coordinate' qualifier='altitude']919[/cam][cam element='coordinate' qualifier='bearing']5[/cam][cam element='coordinate' qualifier='inclination']60[/cam][cam element='coordinate' qualifier='cartesian'](2.900,1.730,3.000)[/cam]",None,,2004-05-10T12:52:00Z - 2004-05-10T12:52:00Z - 2002-12-20 16:40:00 - 2004-05-10T12:52:00Z
82,"20020510: Rock (8), panel (16)","Rock Art photograph, Panel (16) - [cam element='coordinate' qualifier='longitude']W 70deg34'56.0""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.4""[/cam][cam element='coordinate' qualifier='altitude']919[/cam][cam element='coordinate' qualifier='bearing']5[/cam][cam element='coordinate' qualifier='inclination']60[/cam][cam element='coordinate' qualifier='cartesian'](2.900,1.730,3.000)[/cam]",None,,2004-05-10T12:52:03Z - 2004-05-10T12:52:03Z - 2002-12-20 16:40:00 - 2004-05-10T12:52:03Z
83,"20020512: Rock (8), panel (16)","Rock Art photograph, Panel (16L) - [cam element='coordinate' qualifier='longitude']W 70deg34'56.0""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.4""[/cam][cam element='coordinate' qualifier='altitude']919[/cam][cam element='coordinate' qualifier='bearing']5[/cam][cam element='coordinate' qualifier='inclination']60[/cam][cam element='coordinate' qualifier='cartesian'](2.900,1.730,3.000)[/cam]",None,,2004-05-10T12:52:06Z - 2004-05-10T12:52:06Z - 2002-12-20 16:40:00 - 2004-05-10T12:52:06Z
84,"20020515: Rock (9), panel (17)","Rock Art photograph, (17) + panorama - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.5""[/cam][cam element='coordinate' qualifier='altitude']917[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.050,1.100,1.450)[/cam]",None,,2004-05-10T12:52:11Z - 2004-05-10T12:52:11Z - 2002-12-20 16:46:00 - 2004-05-10T12:52:11Z
85,"20020516: Rock (9), panel (17)","Rock Art photograph, (17) + panorama - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.5""[/cam][cam element='coordinate' qualifier='altitude']917[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.050,1.100,1.450)[/cam]",None,,2004-05-10T12:52:15Z - 2004-05-10T12:52:15Z - 2002-12-20 16:46:00 - 2004-05-10T12:52:15Z
86,"20020517: Rock (9), panel (17)","Rock Art photograph, (17) + panorama - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.5""[/cam][cam element='coordinate' qualifier='altitude']917[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.050,1.100,1.450)[/cam]",None,,2004-05-10T12:52:18Z - 2004-05-10T12:52:18Z - 2002-12-20 16:46:00 - 2004-05-10T12:52:18Z
87,"20020518: Rock (9), panel (17)","Rock Art photograph, (17) + panorama - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.5""[/cam][cam element='coordinate' qualifier='altitude']917[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.050,1.100,1.450)[/cam]",None,,2004-05-10T12:52:22Z - 2004-05-10T12:52:22Z - 2002-12-20 16:46:00 - 2004-05-10T12:52:22Z
88,"20020530: Rock (9), panel (17)","Rock Art photograph, Panel (17), glyphs - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.5""[/cam][cam element='coordinate' qualifier='altitude']917[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.050,1.100,1.450)[/cam]",None,,2004-05-10T12:52:25Z - 2004-05-10T12:52:25Z - 2002-12-20 16:55:00 - 2004-05-10T12:52:25Z
89,"20020532: Rock (9), panel (17)","Rock Art photograph, Panel (17), glyphs - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.5""[/cam][cam element='coordinate' qualifier='altitude']917[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.050,1.100,1.450)[/cam]",None,,2004-05-10T12:52:28Z - 2004-05-10T12:52:28Z - 2002-12-20 16:55:00 - 2004-05-10T12:52:28Z
90,"20020533: Rock (9), panel (17)","Rock Art photograph, Panel (17), glyphs - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'48.5""[/cam][cam element='coordinate' qualifier='altitude']917[/cam][cam element='coordinate' qualifier='bearing']170[/cam][cam element='coordinate' qualifier='inclination']55[/cam][cam element='coordinate' qualifier='cartesian'](1.050,1.100,1.450)[/cam]",None,,2004-05-10T12:52:31Z - 2004-05-10T12:52:31Z - 2002-12-20 16:55:00 - 2004-05-10T12:52:31Z
